"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.100.9","20.195.84.16","TLSv1.2","85","Application Data"
"2","0.099938","192.168.100.9","172.217.19.174","UDP","71","54630  >  443 Len=29"
"3","0.100139","192.168.100.9","172.217.17.42","UDP","71","55741  >  443 Len=29"
"4","0.116759","20.195.84.16","192.168.100.9","TCP","60","443  >  58635 [ACK] Seq=1 Ack=32 Win=501 Len=0"
"5","0.147987","172.217.17.42","192.168.100.9","UDP","67","443  >  55741 Len=25"
"6","0.149620","172.217.19.174","192.168.100.9","UDP","68","443  >  54630 Len=26"
"7","0.249777","192.168.100.9","34.144.254.29","TCP","55","59603  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP PDU reassembled in 582]"
"8","0.302255","34.144.254.29","192.168.100.9","TCP","66","443  >  59603 [ACK] Seq=1 Ack=2 Win=10106 Len=0 SLE=1 SRE=2"
"9","0.351171","192.168.100.9","172.217.19.174","UDP","71","54630  >  443 Len=29"
"10","0.404358","172.217.19.174","192.168.100.9","UDP","68","443  >  54630 Len=26"
"11","0.616526","192.168.100.9","172.217.19.174","UDP","71","54630  >  443 Len=29"
"12","0.674799","172.217.19.174","192.168.100.9","UDP","68","443  >  54630 Len=26"
"13","1.076941","192.168.100.9","172.217.19.174","UDP","71","54630  >  443 Len=29"
"14","1.140275","172.217.19.174","192.168.100.9","UDP","68","443  >  54630 Len=26"
"15","1.187758","142.250.181.138","192.168.100.9","UDP","120","443  >  51837 Len=78"
"16","1.203918","192.168.100.9","142.250.181.138","UDP","75","51837  >  443 Len=33"
"17","1.395430","192.168.100.9","142.250.181.138","UDP","71","51837  >  443 Len=29"
"18","1.445178","142.250.181.138","192.168.100.9","UDP","67","443  >  51837 Len=25"
"19","1.647870","192.168.100.9","142.250.181.138","UDP","71","51837  >  443 Len=29"
"20","1.695703","142.250.181.138","192.168.100.9","UDP","67","443  >  51837 Len=25"
"21","1.732807","192.168.100.9","172.217.19.238","UDP","546","62135  >  443 Len=504"
"22","1.786741","172.217.19.238","192.168.100.9","UDP","75","443  >  62135 Len=33"
"23","1.806407","192.168.100.9","172.217.19.238","UDP","76","62135  >  443 Len=34"
"24","1.901008","192.168.100.9","142.250.181.138","UDP","71","51837  >  443 Len=29"
"25","1.948587","192.168.100.9","172.217.19.174","UDP","71","54630  >  443 Len=29"
"26","1.949499","142.250.181.138","192.168.100.9","UDP","67","443  >  51837 Len=25"
"27","1.987582","192.168.100.34","224.0.0.251","MDNS","103","Standard query 0x0053 PTR _googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question"
"28","1.987582","fe80::5ccf:b7ff:fe4d:68c","ff02::fb","MDNS","123","Standard query 0x0053 PTR _googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question"
"29","1.996113","192.168.100.9","172.217.19.238","UDP","71","62135  >  443 Len=29"
"30","1.998438","172.217.19.174","192.168.100.9","UDP","68","443  >  54630 Len=26"
"31","2.042229","172.217.19.238","192.168.100.9","UDP","68","443  >  62135 Len=26"
"32","2.088025","172.217.19.238","192.168.100.9","UDP","1142","443  >  62135 Len=1100"
"33","2.088693","172.217.19.238","192.168.100.9","UDP","101","443  >  62135 Len=59"
"34","2.096278","192.168.100.9","142.250.181.110","UDP","795","51539  >  443 Len=753"
"35","2.106846","192.168.100.9","172.217.19.238","UDP","83","62135  >  443 Len=41"
"36","2.149123","142.250.181.110","192.168.100.9","UDP","75","443  >  51539 Len=33"
"37","2.154041","172.217.19.238","192.168.100.9","UDP","68","443  >  62135 Len=26"
"38","2.154427","192.168.100.9","142.250.181.138","UDP","71","51837  >  443 Len=29"
"39","2.170589","192.168.100.9","142.250.181.110","UDP","75","51539  >  443 Len=33"
"40","2.203310","142.250.181.138","192.168.100.9","UDP","67","443  >  51837 Len=25"
"41","2.362416","192.168.100.9","142.250.181.110","UDP","71","51539  >  443 Len=29"
"42","2.409999","192.168.100.9","142.250.181.138","UDP","71","51837  >  443 Len=29"
"43","2.412486","142.250.181.110","192.168.100.9","UDP","68","443  >  51539 Len=26"
"44","2.427998","142.250.181.110","192.168.100.9","UDP","562","443  >  51539 Len=520"
"45","2.428956","142.250.181.110","192.168.100.9","UDP","65","443  >  51539 Len=23"
"46","2.441676","192.168.100.9","142.250.181.110","UDP","82","51539  >  443 Len=40"
"47","2.457080","142.250.181.138","192.168.100.9","UDP","67","443  >  51837 Len=25"
"48","2.492338","142.250.181.110","192.168.100.9","UDP","68","443  >  51539 Len=26"
"49","2.505263","192.168.100.9","34.144.254.29","TCP","55","59808  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1 [TCP PDU reassembled in 5836]"
"50","2.551718","34.144.254.29","192.168.100.9","TCP","66","443  >  59808 [ACK] Seq=1 Ack=2 Win=1043 Len=0 SLE=1 SRE=2"
"51","2.664011","192.168.100.9","142.250.181.138","UDP","71","51837  >  443 Len=29"
"52","2.712338","142.250.181.138","192.168.100.9","UDP","67","443  >  51837 Len=25"
"53","3.120308","192.168.100.9","142.250.181.138","UDP","71","51837  >  443 Len=29"
"54","3.199453","192.168.100.9","142.250.181.138","UDP","71","51837  >  443 Len=29"
"55","3.342308","192.168.100.9","142.250.181.138","UDP","71","51837  >  443 Len=29"
"56","3.406128","192.168.100.9","142.250.181.138","UDP","1292","57065  >  443 Len=1250"
"57","3.611609","192.168.100.9","172.217.19.174","UDP","71","54630  >  443 Len=29"
"58","3.626766","142.250.181.138","192.168.100.9","UDP","67","443  >  51837 Len=25"
"59","3.626766","142.250.181.138","192.168.100.9","UDP","68","443  >  51837 Len=26"
"60","3.626766","142.250.181.138","192.168.100.9","UDP","70","443  >  51837 Len=28"
"61","3.626766","142.250.181.138","192.168.100.9","UDP","70","443  >  51837 Len=28"
"62","3.627424","142.250.181.138","192.168.100.9","UDP","1292","443  >  57065 Len=1250"
"63","3.627943","192.168.100.9","142.250.181.138","UDP","76","57065  >  443 Len=34"
"64","3.628040","192.168.100.9","142.250.181.138","UDP","71","57065  >  443 Len=29"
"65","3.690909","192.168.100.9","172.217.19.174","UDP","71","54630  >  443 Len=29"
"66","3.747087","172.217.19.174","192.168.100.9","UDP","68","443  >  54630 Len=26"
"67","3.747188","172.217.19.174","192.168.100.9","UDP","69","443  >  54630 Len=27"
"68","3.747477","142.250.181.138","192.168.100.9","UDP","94","443  >  57065 Len=52"
"69","3.769930","192.168.100.9","142.250.181.138","UDP","75","57065  >  443 Len=33"
"70","3.871263","142.250.181.138","192.168.100.9","UDP","88","443  >  57065 Len=46"
